"X_BI","X_CAWT","X_FORM","X_HYD","MSP10_SP","MSP12_SP","MSP15_SP","MSP18_SP","MSP19_SP","MSP20_SP","MSP24_SP","MSP33_SP","MSP3_SP","MSP9_SP","Root.Barn","SOWT","Miniacina_miniacea_.R.","Miniacina_sp_.A.","Miniacina_sp_.J.","Parasmittina_margaritata","MSP12_BRYO","MSP14_BRYO","Smittoidea_cautela","Watersipora_subtorquata","Smittipora_harmeriana","Disporella_novaehollandiae","MSP5_BRYO","Crisia_elongata","Tubulipora_sp.","BIOFR","BIOFV","CYANOB","MSP10_ASCC","MSP10_ASCS","MSP11_ASCS","MSP15_ASCC","MSP16_ASCC","MSP1_ASCC","MSP1_ASCS","MSP22_ASCC","MSP24_ASCC","MSP2_ASCC","MSP2_ASCS","MSP3_ASCS","MSP4_ASCC","MSP5_ASCC","MSP5_ASCS","MSP6_ASCC","MSP6_ASCS","MSP8_ASCC","MSP9_ASCC","MSP9_ASCS","NR","OROS","X_BRUP","CCA","GRUP","RDUP"
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,2.5,0,0,0,0,2.5,0,2.5,12.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,5,0,12.5,0,2.5
0,2.439,0,4.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.439,0,0,0,0,17.073,0,0,14.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.268,0,0,29.268,0,0
0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.084,0,18.75,0,0,2.084,0,0,0,0,6.25,0,0,0,0,10.417,0,0,0,0,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.417,2.084,0,22.917,2.084,0
0,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,24,0,0
0,8.108,2.703,0,0,0,0,0,0,2.703,0,0,0,0,0,0,0,0,5.405,0,0,0,0,0,0,0,2.703,0,2.703,5.405,0,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.838,10.811,0,18.919,0,0
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.5,5,7.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,5,0,0,42.5,0,0,10,0,0
0,18,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,22,0,0
0,24.49,0,2.041,0,0,6.122,0,0,0,0,0,0,0,0,0,0,0,4.082,0,0,0,0,0,0,0,38.775,0,0,2.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.041,0,0,0,2.041,2.041,16.327,0,0
0,12.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,2.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.999,7.5,0,22.5,0,0
0,5.715,0,2.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857,19.999,0,0,11.428,2.857,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857,0,0,0,0,0,0,0,37.142,2.857,0,11.428,0,0
0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,2,0,0,10,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,0
0,8.511,0,2.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.766,0,2.128,2.128,0,0,0,2.128,48.936,0,0,8.511,0,2.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.383,2.128,0,2.128,0,0
0,18.919,0,5.405,0,0,0,0,0,0,0,0,0,0,0,2.703,0,0,0,0,0,0,0,0,0,0,0,2.703,0,10.811,2.703,10.811,0,0,0,0,0,2.703,0,0,0,0,0,0,0,0,2.703,0,0,0,0,0,16.216,5.405,0,16.216,0,2.703
