"","bi","cawt","form","hyd","msp10_sp","msp11_sp","msp12_sp","msp15_sp","msp14_sp","msp16_sp","msp18_sp","msp19_sp","msp1_sp","msp20_sp","msp21_sp","msp22_sp","msp23_sp","msp24_sp","msp25_sp","msp26_sp","msp27_sp","msp28_sp","msp29_sp","msp2_sp","msp30_sp","msp31_sp","msp33_sp","msp34_sp","msp35_sp","msp36_sp","msp3_sp","msp4_sp","msp5_sp","msp7_sp","msp8_sp","msp9_sp","pina","root_barn","sowt","sp","miniacina_miniacea_.r.","miniacina_sp_.a.","miniacina_sp_.j.","parasmittina_margaritata","msp12_bryo","msp14_bryo","schizomavella_sp.","smittoidea_cautela","watersipora_subtorquata","smittipora_harmeriana","disporella_novaehollandiae","msp5_bryo","crisia_elongata","tubulipora_sp.","scrupocellaria_sp.","biofr","biofv","cyanob","msp10_ascc","msp11_ascc","msp11_ascs","msp12_ascc","msp13_ascc","msp14_ascc","msp15_ascc","msp16_ascc","msp17_ascc","msp19_ascc","msp1_ascc","msp1_ascs","msp21_ascc","msp22_ascc","msp2_ascc","msp2_ascs","msp3_ascc","msp3_ascs","msp4_ascc","msp4_ascs","msp5_ascc","msp5_ascs","msp6_ascc","msp6_ascs","msp7_ascc","msp8_ascc","msp8_ascs","msp9_ascc","msp9_ascs","X_brup","cca","gren","grup","rdup"
"RUNA1A",1.156625,17.1263125,0,9.609375,0,0,2.233,0,0,0,0,0,0,1.007,0,0,0,0.260375,0,0.8523125,0.2840625,0,0,0,0,0,0,0,0,0,2.7186875,1.066875,0,0,0.297625,0.3125,0.1689375,0,0.3125,0.4031875,4.486875,0,0,0,0,0,0,0,0.428,0.7925625,1.806375,8.5965,6.0909375,0.635375,0.4530625,3.36925,3.7865,2.0514375,0,0,0,0,0,0,0,0,0,0,0,0.9360625,0,0,0,0,0,0,0,0,0,0,0.50675,0,0,0.462,0,0,0,0.260375,27.529,0,0,0
"RUNA1B",2.4798125,15.10975,0,9.5715,0.40325,0,0,2.69875,0.7925625,0,0,0,0.78125,1.7998125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4645625,1.349375,0,0,1.0654375,0,1.9999375,0,0.5104375,1.03125,4.6866875,0,0,0,0,0,0,0,0,0,0.2604375,5.07625,4.10975,0.2604375,0.3571875,4.8349375,4.4249375,1.4620625,0,0.347125,0,0,0,0,0.2840625,0,0,0,0,0.85225,0,0,0,0,0,0,0.3571875,0,0,0,0,0,0,0,0,0,0.2841875,0,31.345125,0,0,0
"RUNA1C",0,15.1948125,0,3.8430625,1.132625,0,4.2895625,1.084375,0,0.201625,0,0,0.2155,1.0246875,0,0,0,0.7520625,0.5848125,0,0,1.5625,0,0,0.201625,0,0,0,0,0,2.9880625,0.2155,0,0.2840625,0.446375,0.436,0,0,0.22325,0.3720625,1.868625,0,3.7733125,0.3378125,0,0,0,0,0.72225,0,1.25125,5.1305625,0.917625,0.694375,0,8.0494375,2.235875,6.231625,0,0.5533125,0,0,0,0,0,0.40325,0,0,0,0.431,0,0,0,0,0,0,0.8064375,0,0,0,0,0,0,0.7750625,0,0,0,0.8281875,29.7915,0,0,0.145375
"RUNA2A",2.6314375,17.1471875,0.7228125,5.33975,0.25,1.041625,0.390625,0,0.5435625,0,0,0,0.2155625,0,0,0,0,0,0,0,0,0,0,0.8928125,0,0,0,0,0,0,1.8045,0.8064375,0.390625,0.368625,0.208375,0.446375,0,0,0.3834375,0,2.1715,0.22325,2.536625,0.145375,0.1953125,0.25,0,0,0.297625,0,0.443,2.43775,0,0.1488125,0,5.84475,2.9340625,7.626,0,0,0,0,0,0,1.041625,0,0,0,0.99,0.25,0,0,1.008125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.431625,36.7804375,0.201625,0,0.208375
"RUNA2B",0.332625,14.6406875,0.842375,3.6900625,0.173625,0.641,1.00175,3.41175,0.201625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758375,0,0,0.1953125,0.4295,0,0,0,0.8929375,0,5.6605,0.533125,2.8521875,0.1488125,0,0.34725,0,0,0,0,0.145375,9.4245,0,0,0.2083125,6.258875,2.51725,2.9020625,0,0,0,0,0,0,0,0,0,0,0,1.078875,0,0,0,0,0,0,0.201625,0,0,0,0,0,0,0,0,0,0,0.2500625,40.26,0,0,0
"RUNA2C",1.103875,13.8433125,0.861125,7.7498125,0,1.5625,1.6371875,0.5245,0,0.284125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5941875,0,0,0,0.22325,0,0,0,2.70825,0,7.908875,1.3491875,0.284125,0,0,0,0,0,0.397,0,0.5708125,5.3600625,0,0.201625,0,5.313625,4.314375,1.2806875,0,0,0,0,0,0,0,0,0,0,1.993,0.5859375,0,0,0,0.2500625,0,0.60475,0.1953125,0,0.1645,0,0.4934375,0,0,0,0,0,0,0.48575,37.15475,0,0,0
"RUNA3A",0.4886875,21.809125,0,3.4456875,0,0,1.5611875,1.2335625,0,0,0,0,0,0,0,0,0,0.803625,0,0,0,0,0,0,0,0,0,0,0,0,1.1119375,0,0,0,0.5208125,0,0,0,0.6280625,0,14.890125,0.3125,1.97525,0.1689375,0,0,0,0,0.15625,0,0.201625,6.08375,0,0,0,5.91375,3.2908125,0.9881875,1.4040625,0,0.46875,0,0,0,0,0,0,0.405,0,0.4171875,0,0,0,0,0,0,4.08625,0,0.2404375,0,0,0,0,1.384625,0,0,0,0.5365625,25.304375,0,0,0.1689375
"RUNA3B",0.8749375,15.335625,0.22325,4.712125,0.400625,0,2.340125,1.6361875,0.4166875,0,0.416625,0,0,0.2155625,0,0,0,0,0,0,0,0.3205,0,0,0,0,0,0,0,0,0.8745,0,0,0,0,0,0.240375,0,1.0250625,0.5894375,6.5530625,0.8666875,5.29825,0.1525,0,0.390625,0,0,0,0.1785625,1.3043125,9.94275,0,0.240375,0,6.6916875,2.046375,1.3613125,0.208375,0,0,0,0,0,0.2155625,0,0.1524375,0,0.2155625,0.208375,0.1785625,0,0,0,0,0,0,0,0,0,0,0,0,0.1953125,0.5859375,0,0,1.025625,32.3658125,0,0,0
"RUNA3C",1.8189375,19.9408125,0.5073125,12.5464375,1.2074375,0,1.7194375,0.135875,0,0,0,0,0.9963125,3.9015,0,0,0,0,0,0.5681875,0.378875,0.390625,0,0.3125,1.0489375,0.9375,0,0,0,0,1.318125,0.75825,0,0,0.173625,1.822625,2.0833125,0,1.090375,2.1189375,1.5571875,0,0.3196875,0,0,0.1645,0,0,0,0,0.135875,1.6698125,9.1055,0.5200625,0,2.534625,0.4933125,0.3483125,0.735375,0,0,0,0,0,0.981,0,0,0,0,0.5685625,0,0,0,0,0,0,1.5085625,0,0,0,0.5310625,0,0,1.432,0,0,0,0,21.3191875,0,0,0.300375
"RUNA4A",0.8720625,18.3255,0.2231875,5.9240625,0,0,0.2155,2.4561875,0,0,0,0,0,0,0,0,0,0,0.3019375,0,0,0,0,0,0,0,0,0,0,0,0.8905625,0,0,0,0,0,0.5434375,0,0.5218125,1.071375,3.6794375,0.1689375,0.279,0,0,0.68825,0.2718125,0,0.15625,0,0.754875,13.6515,0.87125,2.43575,0,3.718875,2.947875,7.24525,0,0,0,0,0,0,0,0.133,0,0,0.828,0.7723125,0,0,0,0,0,0,1.96275,0.297625,0,0,0,0,0,0.279,0,0,0,0,26.8505,0.446375,0,0.2155
"RUNA4B",3.3573125,19.69475,0,6.0911875,0.744,0,0.511125,6.3483125,0.135875,0,0.183875,0,0.4031875,0,0,0,0,0,0,0,0,0,0,0,0,1.1218125,0.669625,0,0,0,0.48075,0.6288125,0,0,0.16025,0.6465625,1.4880625,0,5.398125,1.408125,1.3059375,0,0.795375,0,0.1524375,0.3086875,0.25,0,0.3660625,0,1.5771875,9.336125,0.934875,0.6334375,0,5.17875,0.5235,5.305,0,0,0,0,0.2155,0,0,0,0,0,0,0.7935625,0,0,0,0,0,0,0.9590625,0,0,0,0,0,0,0.2231875,0,0,0,0.2231875,20.94375,0,0,0.502625
"RUNA4C",2.5715625,21.6909375,0,6.7371875,0.1785625,0,0.9075625,0.811375,0,0,0.4996875,0,0.4031875,0.16025,0,0,0,0,0.1894375,0,0,0,0.2315,0,0.2604375,0,0.2015625,0,0,0,0.5233125,0,0,0.1894375,0.3910625,1.5625,0.6048125,0,0,0.5646875,4.76525,0.646625,2.4138125,0.142,0.1894375,0.8145,0.2315,0,0.173625,0.58175,0.1524375,9.723625,0.2840625,0.1785625,0,5.182,3.0598125,5.962,0,0.1524375,0,0,0,0,0,0,0,0,0,0.40325,0,0,0,0,0,0,0.40325,0,0,0,0,0,0,1.29925,0,0,0,0.142,24.2185,0,0,0.2015625
"RUNA5A",4.1599375,19.007,0.3471875,5.505125,0.4630625,0,0.4166875,1.71625,0.2155,0,0,0,0,0.627375,0,0,0,0,0,0,0,0,0,0,0.2155,0,1.092875,0,0,0,0.297625,2.230625,0.25,0,0,2.5633125,0,0,0.9444375,0.640625,4.435,0.5191875,1.048,0,0,0.90375,1.4895625,0.426125,0.7920625,1.47875,0.3471875,6.9141875,0.5394375,0.362125,0,4.8094375,2.0105625,10.011125,0.416625,0.9334375,0,0,0,0,0,0,0.4999375,0,0,0,0,0,0,0,0,0,0.3471875,0,0,0,0,0,0,0,0,0,0,0,21.0230625,0,0,0
"RUNA5B",2.032375,23.3725,1.048,9.84025,0,0,1.1815,1.281875,0,0,0,0,0.30975,0.1894375,0,0,0,0.3906875,0,0,0.1953125,0,0,0,0,0,0,0,0,0,0.6833125,0,0,0,0,0.2499375,0,0,3.451875,1.403,3.5806875,0,0.1644375,0.1953125,0,0.451,0,0,0.5509375,0.3906875,0.7634375,6.105,0,0.50775,1.8333125,4.2785,1.7608125,1.476875,0.329,0,0,0,0,0,0.3906875,0,0,0,0.3125,0,0,0,0,0,0,0,0.706875,0,0,0,0,0,0,0.643875,0,0,0,0.2604375,29.6678125,0,0,0
"RUNA5C",5.06275,16.4853125,0.538,2.19275,0.36075,0,0.3608125,1.8356875,0,0,0,0,0.1838125,0.31675,0,0,0,0.2604375,0,0,0,0,0,0,0,0,0,0,0,0,0.3310625,0.367625,0.297625,0.3289375,0,0.5515,0,0,0.2083125,2.7115625,3.87525,0.317,0.325875,0,0,0.993875,0.994,0,0.1645,0,2.01025,12.475875,0.1524375,1.005125,0.5445,4.57925,4.174625,12.039375,0,1.726625,0,0,0,0,0.1525,0,0.1838125,0,0,0.658125,0,0,0,0,0,0,0.7218125,0,0,0,0,0,0,0,0,0,0,0.5435,19.6835625,0,0,0.2840625
"RUNA6A",1.3886875,18.693625,1.222625,0.7346875,0,0,0.464375,1.7694375,0,0,0.3049375,0,0.1735625,0.9621875,0,0,0.7811875,0,0,0,0,0,2.4085625,0,0,0,0,0,0,0,0.435125,0.534375,0.5208125,0,0.32525,1.9138125,0.6250625,0,0.2083125,2.600625,4.266875,0.1524375,0.68625,0,0,0.6733125,0.3125,0,0.71175,0.173625,2.18225,4.674375,0.65975,0.5669375,0.1735625,2.859375,2.6488125,3.6899375,0.1524375,0.651,0,0,0,0,0.72675,0,0,0,0.5008125,0,0,0,0,0,0,0,0.584625,0,0,0,0.2083125,0,0,0,0,0,0,0,34.363125,0,0,2.314125
