"latitude","longitude","abc","station","prefixe","arms_name","arms_number","b_m_t","o_c","plate_number","Orientation","arms_campaign","image_name","arms","immersion_season","recovery_season","imm_time"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"B","F",1,"U","CINARMS","CINARMS10_1U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"B","F",2,"D","CINARMS","CINARMS10_2D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"B","O",2,"U","CINARMS","CINARMS10_2U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"B","O",3,"D","CINARMS","CINARMS10_3D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"M","F",3,"U","CINARMS","CINARMS10_3U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"M","F",4,"D","CINARMS","CINARMS10_4D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"M","O",4,"U","CINARMS","CINARMS10_4U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"M","O",5,"D","CINARMS","CINARMS10_5D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"M","F",5,"U","CINARMS","CINARMS10_5U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"M","F",6,"D","CINARMS","CINARMS10_6D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"M","O",6,"U","CINARMS","CINARMS10_6U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"M","O",7,"D","CINARMS","CINARMS10_7D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"H","F",7,"U","CINARMS","CINARMS10_7U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"H","F",8,"D","CINARMS","CINARMS10_8D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"H","O",8,"U","CINARMS","CINARMS10_8U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS10","CINA","CINA4A",10,"H","O",9,"D","CINARMS","CINARMS10_9D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"B","F",1,"U","CINARMS","CINARMS11_1U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"B","F",2,"D","CINARMS","CINARMS11_2D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"B","O",2,"U","CINARMS","CINARMS11_2U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"B","O",3,"D","CINARMS","CINARMS11_3D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"M","F",3,"U","CINARMS","CINARMS11_3U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"M","F",4,"D","CINARMS","CINARMS11_4D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"M","O",4,"U","CINARMS","CINARMS11_4U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"M","O",5,"D","CINARMS","CINARMS11_5D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"M","F",5,"U","CINARMS","CINARMS11_5U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"M","F",6,"D","CINARMS","CINARMS11_6D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"M","O",6,"U","CINARMS","CINARMS11_6U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"M","O",7,"D","CINARMS","CINARMS11_7D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"H","F",7,"U","CINARMS","CINARMS11_7U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"H","F",8,"D","CINARMS","CINARMS11_8D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"H","O",8,"U","CINARMS","CINARMS11_8U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS11","CINA","CINA4B",11,"H","O",9,"D","CINARMS","CINARMS11_9D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"B","F",1,"U","CINARMS","CINARMS12_1U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"B","O",2,"D","CINARMS","CINARMS12_2D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"B","O",2,"U","CINARMS","CINARMS12_2U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"B","F",3,"D","CINARMS","CINARMS12_3D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"M","F",3,"U","CINARMS","CINARMS12_3U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"M","O",4,"D","CINARMS","CINARMS12_4D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"M","O",4,"U","CINARMS","CINARMS12_4U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"M","F",5,"D","CINARMS","CINARMS12_5D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"M","F",5,"U","CINARMS","CINARMS12_5U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"M","O",6,"D","CINARMS","CINARMS12_6D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"M","O",6,"U","CINARMS","CINARMS12_6U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"M","F",7,"D","CINARMS","CINARMS12_7D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"H","F",7,"U","CINARMS","CINARMS12_7U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"H","O",8,"D","CINARMS","CINARMS12_8D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"H","O",8,"U","CINARMS","CINARMS12_8U.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS12","CINA","CINA4C",12,"H","F",9,"D","CINARMS","CINARMS12_9D.jpg","CINA4","imm_cold","rec_cold","1y"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"B","F",1,"U","CINARMS","CINARMS1_1U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"B","F",2,"D","CINARMS","CINARMS1_2D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"B","O",2,"U","CINARMS","CINARMS1_2U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"B","O",3,"D","CINARMS","CINARMS1_3D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"M","F",3,"U","CINARMS","CINARMS1_3U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"M","F",4,"D","CINARMS","CINARMS1_4D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"M","O",4,"U","CINARMS","CINARMS1_4U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"M","O",5,"D","CINARMS","CINARMS1_5D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"M","F",5,"U","CINARMS","CINARMS1_5U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"M","F",6,"D","CINARMS","CINARMS1_6D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"M","O",6,"U","CINARMS","CINARMS1_6U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"M","O",7,"D","CINARMS","CINARMS1_7D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"H","F",7,"U","CINARMS","CINARMS1_7U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"H","F",8,"D","CINARMS","CINARMS1_8D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS1","CINA","CINA1A",1,"H","O",8,"U","CINARMS","CINARMS1_8U.jpg","CINA1","imm_hot","rec_cold","6m"
