latitude;longitude;incubation;season;sanctuary;locality;site;abc;station;prefixe;arms_name;arms_number;b_m_t;o_c;plate_number;Orientation;arms_campaign;image_id;image_name;Bivalvia;Calc_worm_tube;Hydrozoa;msp10_spo;msp11_spo;msp12_spo;msp15_spo;msp14_spo;msp16_spo;msp18_spo;msp19_spo;msp1_spo;msp20_spo;msp21_spo;msp22_spo;msp23_spo;msp24_spo;msp25_spo;msp26_spo;msp27_spo;msp28_spo;msp29_spo;msp2_spo;msp30_spo;msp31_spo;msp33_spo;msp34_spo;msp35_spo;msp36_spo;msp37_spo;msp38_spo;msp3_spo;msp4_spo;msp5_spo;msp7_spo;msp8_spo;msp9_spo;Pina_sp;Cirripedia;Soft_worm_tube;Miniacina_sp_(r)_for;Miniacina_sp_(a)_for;Miniacina_sp_(j)_for;Parasmittina_margaritata_bryo;msp12_bryo;msp14_bryo;Schizomavella_sp_bryo;Smittoidea_cautela_bryo;Watersipora_subtorquata_bryo;Smittipora_harmeriana_bryo;Disporella_novaehollandiae_bryo;msp5_bryo;Crisia_elongata_bryo;Tubulipora_sp_bryo;Scrupocellaria_sp_bryo;Red_biofilm;Green_biofilm;Cyanobacteria;Lissoclinum_sp1_ascc;Ascidia_archaia_ascs;Didemnidae_sp1_ascc;Lissoclinum_sp2_ascc;Cystodystes_sp_ascc;Polysyncraton_milleporae_ascc;Botryllus_sp1_ascc;msp15_ascc;Botryllus_gregalis_ascc;msp17_ascc;Botryllus_sp2_ascc;Aplidium_sp_ascc;Polycarpa_sp_ascs;Trididemnum_sp_ascc;Botryllus_sp3_ascc;Botryllus_tuberatus_ascc;Botryllus_sp6_ascc;Eusynstyela_hartmeyeri_ascc;msp2_ascs;Botryllus_sp4_ascc;Styela_canopus_ascs;Didemnidae_sp2_ascc;Ascidia_sydneiensis_ascs;Botryllus_sp5_ascc;msp5_ascs;Polysyncraton_rostrum_ascc;msp6_ascs;msp7_ascc;Didemnidae_sp3_ascc;Ascidia_fictile_ascs;msp9_ascc;msp9_ascs;bare_plate;sediment;Brown_upright_macroalgae;CCA;Green_encr_macroalgae;Green_upright_macroalgae;Red_upright_Macroalgae
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;B;F;1;U;CINARMS;2462690;CINARMS10_1U.jpg;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,5;0;0;0;0;0;2,5;0;0;0;0;2,5;0;0;2,5;12,5;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,5;5;0;12,5;0;0;2,5
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;B;F;2;D;CINARMS;2462691;CINARMS10_2D.jpg;0;2,439;4,878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,439;0;0;0;0;0;17,073;0;0;0;14,634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,268;0;0;29,268;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;B;O;2;U;CINARMS;2462692;CINARMS10_2U.jpg;0;18,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,084;0;18,75;0;0;2,084;0;0;0;0;0;6,25;0;0;0;0;0;10,417;0;0;0;0;0;0;0;0;4,167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,417;2,084;0;22,917;0;2,084;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;B;O;3;D;CINARMS;2462693;CINARMS10_3D.jpg;0;34;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;24;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;F;3;U;CINARMS;2462694;CINARMS10_3U.jpg;0;8,108;0;0;0;0;0;0;0;0;0;0;2,703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,405;0;0;0;0;0;0;0;0;2,703;0;2,703;0;5,405;0;2,703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,838;10,811;0;18,919;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;F;4;D;CINARMS;2462695;CINARMS10_4D.jpg;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2,5;5;0;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;42,5;0;0;10;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;O;4;U;CINARMS;2462696;CINARMS10_4U.jpg;0;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;10;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;22;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;O;5;D;CINARMS;2462697;CINARMS10_5D.jpg;0;24,49;2,041;0;0;0;6,122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,082;0;0;0;0;0;0;0;0;38,775;0;0;0;2,041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,041;0;0;0;0;2,041;2,041;16,327;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;F;5;U;CINARMS;2462698;CINARMS10_5U.jpg;0;12,5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;2,5;0;0;2,5;0;12,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,999;7,5;0;22,5;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;F;6;D;CINARMS;2462699;CINARMS10_6D.jpg;0;5,715;2,857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,857;19,999;0;0;0;11,428;2,857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,857;0;0;0;0;0;0;0;0;0;0;37,142;2,857;0;11,428;0;0;0
