"arms";"jacc_quantile";"turn_quantile";"nest_quantile";"bray_quantile";"nest";"nest_numeric"
"1";"CINA1A";"100%";"100%";"20%";"12.5%";"20%";9
"2";"CINA1A";"65%";"75%";"0%";"7.5%";"0%";1
"3";"CINA1A";"100%";"100%";"20%";"7.5%";"20%";9
"4";"CINA1A";"95%";"97.5%";"20%";"12.5%";"20%";9
"5";"CINA1A";"40%";"45%";"45%";"10%";"45%";19
"6";"CINA1A";"75%";"75%";"27.5%";"12.5%";"27.5%";12
"7";"CINA1A";"100%";"100%";"0%";"12.5%";"0%";1
"8";"CINA1A";"32.5%";"32.5%";"37.5%";"7.5%";"37.5%";16
"9";"CINA1A";"85%";"82.5%";"22.5%";"35%";"22.5%";10
"10";"CINA1A";"100%";"97.5%";"55%";"12.5%";"55%";23
"11";"CINA1A";"80%";"75%";"57.5%";"12.5%";"57.5%";24
"12";"CINA1A";"85%";"82.5%";"22.5%";"12.5%";"22.5%";10
"13";"CINA1A";"32.5%";"32.5%";"37.5%";"12.5%";"37.5%";16
"14";"CINA1A";"17.5%";"15%";"82.5%";"0%";"82.5%";34
"15";"CINA1A";"100%";"100%";"0%";"12.5%";"0%";1
"16";"CINA1A";"92.5%";"82.5%";"55%";"12.5%";"55%";23
"17";"CINA1A";"80%";"95%";"0%";"20%";"0%";1
"18";"CINA1A";"95%";"97.5%";"20%";"12.5%";"20%";9
"19";"CINA1A";"40%";"65%";"0%";"35%";"0%";1
"20";"CINA1A";"92.5%";"82.5%";"55%";"32.5%";"55%";23
"21";"CINA1A";"40%";"27.5%";"67.5%";"0%";"67.5%";28
"22";"CINA1A";"60%";"65%";"32.5%";"22.5%";"32.5%";14
"23";"CINA1A";"65%";"45%";"70%";"15%";"70%";29
"24";"CINA1A";"5%";"15%";"65%";"0%";"65%";27
"25";"CINA1A";"32.5%";"32.5%";"37.5%";"12.5%";"37.5%";16
"26";"CINA1A";"32.5%";"32.5%";"37.5%";"25%";"37.5%";16
"27";"CINA1A";"2.5%";"7.5%";"62.5%";"0%";"62.5%";26
"28";"CINA1A";"92.5%";"97.5%";"0%";"12.5%";"0%";1
"29";"CINA1A";"92.5%";"97.5%";"0%";"17.5%";"0%";1
"30";"CINA1A";"5%";"15%";"65%";"7.5%";"65%";27
"31";"CINA1A";"27.5%";"7.5%";"90%";"12.5%";"90%";37
"32";"CINA1A";"60%";"32.5%";"82.5%";"12.5%";"82.5%";34
"33";"CINA1A";"0%";"0%";"77.5%";"0%";"77.5%";32
"34";"CINA1A";"65%";"45%";"70%";"7.5%";"70%";29
"35";"CINA1A";"92.5%";"82.5%";"55%";"27.5%";"55%";23
"36";"CINA1A";"30%";"45%";"0%";"0%";"0%";1
"37";"CINA1A";"100%";"100%";"20%";"12.5%";"20%";9
"38";"CINA1A";"85%";"82.5%";"22.5%";"12.5%";"22.5%";10
"39";"CINA1A";"17.5%";"15%";"82.5%";"2.5%";"82.5%";34
"40";"CINA1A";"80%";"45%";"87.5%";"12.5%";"87.5%";36
"41";"CINA1A";"80%";"45%";"87.5%";"12.5%";"87.5%";36
"42";"CINA1A";"75%";"45%";"82.5%";"2.5%";"82.5%";34
"43";"CINA1A";"100%";"100%";"0%";"30%";"0%";1
"44";"CINA1A";"0%";"0%";"95%";"10%";"95%";39
"45";"CINA1A";"80%";"95%";"0%";"32.5%";"0%";1
"46";"CINA1A";"95%";"97.5%";"20%";"17.5%";"20%";9
"47";"CINA1A";"12.5%";"27.5%";"0%";"12.5%";"0%";1
"48";"CINA1A";"65%";"45%";"70%";"35%";"70%";29
"49";"CINA1A";"92.5%";"95%";"37.5%";"12.5%";"37.5%";16
"50";"CINA1A";"27.5%";"27.5%";"37.5%";"15%";"37.5%";16
"51";"CINA1A";"17.5%";"15%";"82.5%";"15%";"82.5%";34
"52";"CINA1A";"92.5%";"82.5%";"55%";"27.5%";"55%";23
"53";"CINA1A";"40%";"65%";"0%";"17.5%";"0%";1
"54";"CINA1A";"100%";"100%";"20%";"32.5%";"20%";9
"55";"CINA1A";"40%";"65%";"0%";"47.5%";"0%";1
"56";"CINA1A";"65%";"45%";"70%";"30%";"70%";29
"57";"CINA1A";"40%";"27.5%";"67.5%";"10%";"67.5%";28
"58";"CINA1A";"90%";"95%";"20%";"45%";"20%";9
"59";"CINA1A";"65%";"45%";"70%";"15%";"70%";29
"60";"CINA1A";"65%";"45%";"70%";"10%";"70%";29
"61";"CINA1A";"85%";"82.5%";"22.5%";"12.5%";"22.5%";10
"62";"CINA1A";"85%";"82.5%";"22.5%";"12.5%";"22.5%";10
"63";"CINA1A";"30%";"45%";"0%";"12.5%";"0%";1
"64";"CINA1A";"40%";"15%";"95%";"10%";"95%";39
"65";"CINA1A";"80%";"45%";"87.5%";"12.5%";"87.5%";36
"66";"CINA1A";"2.5%";"15%";"0%";"2.5%";"0%";1
"67";"CINA1A";"100%";"100%";"20%";"42.5%";"20%";9
"68";"CINA1A";"75%";"75%";"27.5%";"17.5%";"27.5%";12
"69";"CINA1A";"12.5%";"27.5%";"0%";"15%";"0%";1
"70";"CINA1A";"72.5%";"65%";"60%";"20%";"60%";25
"71";"CINA1A";"72.5%";"65%";"60%";"12.5%";"60%";25
"72";"CINA1A";"90%";"95%";"20%";"12.5%";"20%";9
"73";"CINA1A";"100%";"100%";"0%";"25%";"0%";1
"74";"CINA1A";"75%";"75%";"27.5%";"20%";"27.5%";12
"75";"CINA1A";"100%";"100%";"20%";"45%";"20%";9
"76";"CINA1A";"100%";"97.5%";"55%";"20%";"55%";23
"77";"CINA1A";"80%";"75%";"57.5%";"25%";"57.5%";24
"78";"CINA1A";"100%";"100%";"20%";"32.5%";"20%";9
"79";"CINA1A";"75%";"75%";"27.5%";"40%";"27.5%";12
"80";"CINA1A";"85%";"82.5%";"22.5%";"30%";"22.5%";10
"81";"CINA1A";"90%";"75%";"67.5%";"7.5%";"67.5%";28
"82";"CINA1A";"100%";"97.5%";"35%";"35%";"35%";15
"83";"CINA1A";"85%";"82.5%";"22.5%";"15%";"22.5%";10
"84";"CINA1A";"17.5%";"15%";"82.5%";"20%";"82.5%";34
"85";"CINA1A";"5%";"5%";"77.5%";"17.5%";"77.5%";32
"86";"CINA1A";"72.5%";"65%";"60%";"40%";"60%";25
"87";"CINA1A";"0%";"0%";"95%";"12.5%";"95%";39
"88";"CINA1A";"80%";"45%";"87.5%";"32.5%";"87.5%";36
"89";"CINA1A";"80%";"45%";"87.5%";"20%";"87.5%";36
"90";"CINA1A";"95%";"82.5%";"65%";"17.5%";"65%";27
"91";"CINA1A";"60%";"75%";"0%";"0%";"0%";1
"92";"CINA1A";"40%";"65%";"32.5%";"25%";"32.5%";14
"93";"CINA1A";"40%";"15%";"95%";"12.5%";"95%";39
"94";"CINA1A";"95%";"97.5%";"20%";"35%";"20%";9
"95";"CINA1A";"40%";"15%";"95%";"12.5%";"95%";39
"96";"CINA1A";"75%";"45%";"82.5%";"10%";"82.5%";34
"97";"CINA1B";"67.5%";"72.5%";"32.5%";"37.5%";"32.5%";14
"98";"CINA1B";"35%";"32.5%";"87.5%";"10%";"87.5%";36
"99";"CINA1B";"67.5%";"72.5%";"32.5%";"35%";"32.5%";14
"100";"CINA1B";"67.5%";"72.5%";"32.5%";"35%";"32.5%";14
"101";"CINA1B";"35%";"32.5%";"87.5%";"12.5%";"87.5%";36
"102";"CINA1B";"12.5%";"7.5%";"100%";"27.5%";"100%";41
"103";"CINA1B";"67.5%";"72.5%";"32.5%";"35%";"32.5%";14
"104";"CINA1B";"35%";"32.5%";"87.5%";"17.5%";"87.5%";36
"105";"CINA1B";"92.5%";"92.5%";"22.5%";"45%";"22.5%";10
"106";"CINA1B";"25%";"32.5%";"62.5%";"30%";"62.5%";26
"107";"CINA1B";"25%";"32.5%";"62.5%";"17.5%";"62.5%";26
"108";"CINA1B";"47.5%";"32.5%";"95%";"32.5%";"95%";39
"109";"CINA1B";"97.5%";"100%";"20%";"37.5%";"20%";9
"110";"CINA1B";"75%";"80%";"0%";"20%";"0%";1
"111";"CINA1B";"85%";"80%";"25%";"12.5%";"25%";11
"112";"CINA1B";"97.5%";"100%";"20%";"47.5%";"20%";9
"113";"CINA1B";"100%";"100%";"32.5%";"27.5%";"32.5%";14
"114";"CINA1B";"100%";"100%";"55%";"37.5%";"55%";23
"115";"CINA1B";"97.5%";"100%";"20%";"57.5%";"20%";9
