"arms";"jacc_quantile";"turn_quantile";"nest_quantile";"bray_quantile";"jacc";"turn";"nest";"bray";"jacc_numeric";"turn_numeric";"nest_numeric";"bray_numeric"
"1";"CINA1";"2.5%";"0%";"97.5%";"2.5%";"2.5%";"0%";"97.5%";"2.5%";2;1;40;2
"2";"CINA1";"17.5%";"40%";"27.5%";"0%";"17.5%";"40%";"27.5%";"0%";8;17;12;1
"3";"CINA1";"2.5%";"2.5%";"100%";"0%";"2.5%";"2.5%";"100%";"0%";2;2;41;1
"4";"CINA2";"20%";"7.5%";"97.5%";"10%";"20%";"7.5%";"97.5%";"10%";9;4;40;5
"5";"CINA2";"12.5%";"7.5%";"67.5%";"2.5%";"12.5%";"7.5%";"67.5%";"2.5%";6;4;28;2
"6";"CINA2";"12.5%";"20%";"32.5%";"2.5%";"12.5%";"20%";"32.5%";"2.5%";6;9;14;2
"7";"CINA3";"20%";"35%";"30%";"0%";"20%";"35%";"30%";"0%";9;15;13;1
"8";"CINA3";"95%";"87.5%";"40%";"2.5%";"95%";"87.5%";"40%";"2.5%";39;36;17;2
"9";"CINA3";"7.5%";"10%";"97.5%";"5%";"7.5%";"10%";"97.5%";"5%";4;5;40;3
"10";"CINA4";"2.5%";"0%";"100%";"0%";"2.5%";"0%";"100%";"0%";2;1;41;1
"11";"CINA4";"40%";"32.5%";"55%";"0%";"40%";"32.5%";"55%";"0%";17;14;23;1
"12";"CINA4";"10%";"20%";"27.5%";"0%";"10%";"20%";"27.5%";"0%";5;9;12;1
"13";"RUNA2";"10%";"2.5%";"100%";"0%";"10%";"2.5%";"100%";"0%";5;2;41;1
"14";"RUNA2";"47.5%";"40%";"47.5%";"0%";"47.5%";"40%";"47.5%";"0%";20;17;20;1
"15";"RUNA2";"7.5%";"30%";"32.5%";"0%";"7.5%";"30%";"32.5%";"0%";4;13;14;1
