"","meta_mean.arms","vegan..specnumber.df_mean.","vegan..diversity.df_mean.","piel"
"1","CINA1A",24,2.31472160293374,0.728345624869519
"2","CINA1B",28,2.18737532315181,0.656434896619476
"3","CINA1C",23,2.26163766923797,0.721301815116816
"4","CINA2A",24,2.35809004589688,0.741991851547307
"5","CINA2B",27,2.37805622996696,0.721533354546753
"6","CINA2C",26,2.43854333767912,0.748456440508039
"7","CINA3A",25,2.39489683054818,0.744016532742838
"8","CINA3B",26,2.45074722944773,0.752202152651983
"9","CINA3C",23,2.22332429231323,0.709082568552718
"10","CINA4A",34,2.38541193406815,0.6764515191843
"11","CINA4B",27,2.29473897229453,0.696253809150612
"12","CINA4C",29,2.27087273658501,0.674390624180512
"13","RUNA2A",17,2.25821799514475,0.797051870407944
"14","RUNA2B",18,2.26745757607892,0.784486483402867
"15","RUNA2C",23,2.39576027436563,0.764077401959324
